1635748200000,60616.76000000,60933.95000000,60607.89000000,60830.96000000,461.31761000,1635749099999,28054583.73842540,12999,284.09587000,17274296.72791660,0
1635749100000,60830.95000000,60845.84000000,60663.47000000,60741.76000000,266.28159000,1635749999999,16181339.28514460,8544,125.59061000,7631897.67013560,0
1635750000000,60741.76000000,62144.00000000,60732.07000000,62054.44000000,1981.68016000,1635750899999,121942922.83442330,58807,1256.64736000,77340637.15534390,0
1635750900000,62054.44000000,62298.00000000,61885.71000000,62052.04000000,1361.91100000,1635751799999,84590984.72635820,40874,790.17129000,49088508.07329670,0
1635751800000,62049.99000000,62200.00000000,61924.43000000,61949.77000000,855.35500000,1635752699999,53068087.14633100,15752,465.98908000,28907810.62769840,0
1635752700000,61949.77000000,62200.00000000,61933.83000000,62178.31000000,862.12305000,1635753599999,53548038.86097350,16450,383.03692000,23786800.84856770,0
1635753600000,62176.29000000,62437.74000000,62050.00000000,62115.83000000,852.85613000,1635754499999,53103791.28324090,29234,464.41281000,28921817.55877950,0
1635754500000,62115.83000000,62226.15000000,62045.87000000,62045.87000000,447.02180000,1635755399999,27775084.62979850,13543,241.69528000,15017883.76701250,0
1635755400000,62045.87000000,62188.24000000,61707.76000000,61818.00000000,610.98363000,1635756299999,37857366.64506200,18165,283.05917000,17539121.57153510,0
1635756300000,61817.99000000,61919.99000000,61630.18000000,61902.42000000,465.23761000,1635757199999,28758093.96810750,14225,247.00017000,15267399.48750070,0
1635757200000,61902.42000000,62120.99000000,61817.12000000,62115.06000000,546.48318000,1635758099999,33891639.66114970,17077,270.26592000,16761781.38630670,0
1635758100000,62115.06000000,62150.00000000,61890.88000000,62035.78000000,494.29985000,1635758999999,30666149.22197660,14718,233.71108000,14497829.08642710,0
1635759000000,62035.77000000,62205.66000000,61908.16000000,62123.29000000,399.09507000,1635759899999,24782035.07335470,13030,200.40100000,12445070.64886800,0
1635759900000,62132.04000000,62163.33000000,61886.49000000,61950.45000000,425.64550000,1635760799999,26398375.83285580,12746,190.69814000,11829457.02988560,0
1635760800000,61950.45000000,62067.89000000,61929.40000000,61977.83000000,377.27850000,1635761699999,23397435.35726330,14337,177.19499000,10988736.37925760,0
1635761700000,61977.82000000,62070.00000000,61885.89000000,62041.86000000,418.58954000,1635762599999,25944736.63238670,15657,233.51870000,14473111.43075950,0
1635762600000,62041.86000000,62117.92000000,62002.00000000,62002.00000000,349.50808000,1635763499999,21692726.44325890,11934,176.81188000,10974085.40080710,0
1635763500000,62002.00000000,62273.27000000,61970.90000000,62249.92000000,442.62050000,1635764399999,27503199.60854700,14966,245.35354000,15246719.93084130,0
1635764400000,62249.92000000,62436.87000000,62139.91000000,62165.48000000,777.95974000,1635765299999,48463413.20007830,22940,394.33849000,24566151.67614460,0
1635765300000,62165.48000000,62219.36000000,62011.59000000,62103.35000000,516.80757000,1635766199999,32100442.12116560,16520,225.93950000,14034060.18627660,0
1635766200000,62103.36000000,62174.85000000,61770.00000000,61905.18000000,418.56505000,1635767099999,25945629.51016170,14875,201.35892000,12484343.94447980,0
1635767100000,61905.18000000,62063.57000000,61785.48000000,61807.99000000,346.15716000,1635767999999,21428360.38039970,13484,175.70360000,10877794.74362000,0
1635768000000,61808.00000000,62190.00000000,61793.01000000,62073.99000000,865.96123000,1635768899999,53706341.49771590,19124,389.73479000,24166617.18364700,0
1635768900000,62073.99000000,62078.11000000,61600.00000000,61831.39000000,703.25305000,1635769799999,43504376.52842960,19322,279.18815000,17273825.45251560,0
1635769800000,61831.40000000,61900.00000000,61757.04000000,61811.39000000,359.42109000,1635770699999,22222583.01331930,14208,183.72036000,11359364.31915580,0
1635770700000,61811.38000000,62004.25000000,61613.91000000,61842.67000000,463.75501000,1635771599999,28673512.78621490,14649,237.36244000,14677921.55811430,0
1635771600000,61842.66000000,61900.00000000,61714.79000000,61811.50000000,306.65256000,1635772499999,18947582.96509730,12008,173.27721000,10706713.25758690,0
1635772500000,61811.49000000,61893.68000000,61700.00000000,61875.00000000,292.12596000,1635773399999,18048109.67813960,11883,146.66589000,9062004.54039410,0
1635773400000,61875.00000000,62000.00000000,61761.73000000,61914.35000000,410.12412000,1635774299999,25390670.55985020,15633,222.30114000,13763247.49735940,0
1635774300000,61914.35000000,62047.85000000,61733.91000000,61945.09000000,616.74922000,1635775199999,38195854.72159410,15717,356.50535000,22081076.83625320,0
1635775200000,61945.09000000,61997.12000000,61724.60000000,61754.06000000,316.28490000,1635776099999,19548585.02469430,14735,148.88097000,9201943.05985940,0
1635776100000,61754.06000000,61879.47000000,61717.50000000,61723.86000000,330.01693000,1635776999999,20397804.89826980,11778,137.78941000,8515092.31338540,0
1635777000000,61723.85000000,61772.60000000,61637.31000000,61678.64000000,321.36157000,1635777899999,19823934.74232360,13173,160.76969000,9917440.80544410,0
1635777900000,61678.63000000,61743.69000000,61300.01000000,61454.25000000,803.08381000,1635778799999,49386361.06159890,24153,309.21273000,19023421.10848570,0
1635778800000,61454.24000000,61554.69000000,61398.14000000,61468.05000000,279.05219000,1635779699999,17153399.66931740,12099,167.70059000,10308295.47269070,0
1635779700000,61468.04000000,61611.28000000,61405.12000000,61449.93000000,279.65169000,1635780599999,17202750.45177880,12025,151.66725000,9329897.96094730,0
1635780600000,61449.93000000,61598.97000000,61445.13000000,61457.93000000,218.89438000,1635781499999,13468208.25252680,10698,110.17953000,6779216.52502350,0
1635781500000,61457.93000000,61592.58000000,61414.12000000,61550.89000000,266.91063000,1635782399999,16412269.29840900,11512,147.29334000,9057146.61182370,0
1635782400000,61550.88000000,61571.46000000,61381.00000000,61418.24000000,324.30824000,1635783299999,19933725.10256370,17858,161.46659000,9924883.40323030,0
1635783300000,61418.24000000,61500.00000000,61305.00000000,61335.77000000,318.00814000,1635784199999,19526244.97409070,14292,103.71224000,6370569.02740140,0
1635784200000,61335.77000000,61421.53000000,61049.07000000,61128.10000000,525.18955000,1635785099999,32131418.54580770,22489,211.98068000,12967791.07453460,0
1635785100000,61128.09000000,61173.41000000,61021.00000000,61034.83000000,363.03787000,1635785999999,22178249.20519060,15968,177.96613000,10872598.38626350,0
1635786000000,61034.82000000,61083.62000000,60720.00000000,60777.22000000,702.94307000,1635786899999,42799580.48752100,26663,329.16082000,20039600.65409970,0
1635786900000,60777.21000000,61037.90000000,60753.80000000,60832.51000000,332.05381000,1635787799999,20227011.57990620,14209,185.29552000,11287138.06715240,0
1635787800000,60829.20000000,60935.53000000,60800.00000000,60822.01000000,214.92792000,1635788699999,13078032.74112710,11309,107.23110000,6525191.51731570,0
1635788700000,60822.01000000,60938.51000000,60733.65000000,60765.26000000,333.69004000,1635789599999,20292603.96891450,10521,148.28070000,9017344.11046310,0
1635789600000,60765.26000000,60820.00000000,60515.30000000,60797.32000000,402.94498000,1635790499999,24452305.19857850,18575,175.48718000,10650132.27280430,0
1635790500000,60797.33000000,60800.13000000,60554.57000000,60622.54000000,256.24015000,1635791399999,15534415.31266120,10798,128.11667000,7766797.18992200,0
1635791400000,60622.54000000,60793.41000000,60511.01000000,60775.77000000,312.72857000,1635792299999,18955439.35475120,12101,156.89876000,9510757.75843780,0
1635792300000,60773.82000000,60773.82000000,60511.34000000,60555.01000000,230.15282000,1635793199999,13949096.84477420,10300,97.81804000,5928498.38877670,0
